归字谣　　　、苍梧谣、十六字令
梧桐影　　　、明月斜
啰唝曲　　　、望夫歌
南歌子　　　、春宵曲、水晶帘、碧窗梦、十爱词、南柯子、望秦川、风蝶令
三台　　　　、开元乐、翠华引
渔歌子　　　、渔父、渔父乐
忆江南　　　、谢秋娘、江南好、春去也、望江南、梦江南、梦江口、望江梅、安阳好、梦仙游、步虚声、壶山好、望蓬莱、归塞北
捣练子　　　、捣练子令、深院月
春晓曲　　　、西楼月
寿阳曲　　　、落梅风
天净沙　　　、塞上秋 
甘州曲　　　、甘州子
喜春来　　　、阳春曲
秋风清　　　、秋风引、江南路、新安路
抛球乐　　　、莫思归
忆王孙　　　、独脚令、忆君王、豆叶黄、画娥眉、栏杆万里心、怨王孙
金字经　　　、阅金经
古调笑　　　、宫中调笑、转应曲、三台令
如梦令　　　、忆仙姿、宴桃源、不见、比梅、古记、无梦令、如意令
诉衷情　　　、桃花水
天仙子　　　、万斯年
归自谣　　　、风光子、思佳客
江城子　　　、江神子、村意远
长相思　　　、吴山青、山渐青、青山相送迎、长相思令、相思令
相见欢　　　、秋夜月、上西楼、西楼子、忆真妃、月上瓜州、乌夜啼
河满子　　　、何满子
望梅花　　　、望梅花令
醉太平　　　、凌波曲、醉思凡、四字令
长命女　　　、薄命女
春光好　　　、愁倚阑令、愁倚阑、倚阑令
生查子　　　、楚云深、梅和柳、晴色入青山
添声杨柳枝　、贺圣朝影、太平时
醉公子　　　、四换头
昭君怨　　　、洛妃怨、宴西园
玉蝴蝶　　　、玉蝴蝶慢
女冠子　　　、女冠子慢
中兴乐　　　、湿罗衣
点绛唇　　　、点樱桃、十八香、南浦月、沙头雨、寻瑶草
平湖乐　　　、小桃红、采莲词
归国遥　　　、归平遥
赞浦子　　　、赞普子
浣溪沙　　　、小庭花、减字浣溪沙、满院春、东风寒、醉木犀、霜菊花、广寒枝、试香罗、清和风、怨啼鹃
沙塞子　　　、沙碛子
殿前欢　　　、凤将雅
霜天晓角　　、月当窗、踏月、长桥月
清商怨　　　、关河令、伤情怨
菩萨蛮　　　、重叠金、子夜歌、菩萨鬘、花间意、梅花句、花溪碧、晚云烘日
采桑子　　　、丑奴儿令、罗敷媚歌、丑奴儿、罗敷媚
后庭花　　　、玉树后庭花
诉衷情令　　、渔父家风、一丝风
减字木兰花　、减兰、木兰香、天下乐令
卜算子　　　、缺月挂疏桐、百尺楼、楚天谣、眉峰碧
一落索　　　、洛阳春、玉连环、一络索
谒金门　　　、空相忆、花自落、垂杨碧、杨花落、出塞、东风吹酒面、不怕醉、醉花春、春早湖山
好事近　　　、钓船笛、翠圆枝
好女儿　　　、绣带儿
彩鸾归令　　、青山远
清平乐　　　、清平乐令、忆萝月、醉东风
忆秦娥　　　、秦楼月、双荷叶、蓬莱阁、碧云深、花深深
朝天子　　　、思越人
忆少年　　　、陇首山、十二时、桃花曲
相思引　　　、玉交枝、定风波令、琴调相思引、镜中人
江亭怨　　　、清平乐令、荆州亭
喜迁莺　　　、鹤冲天、万年枝、春光好、喜迁莺令、燕归来、早梅芳、烘春桃李
乌夜啼　　　、圣无忧、锦堂春
相思儿令　　、相思令
阮郎归　　　、碧桃春、醉桃源、宴桃源、濯缨曲
贺圣朝　　　、转调贺圣朝
山花子　　　、南唐浣溪沙、添字浣溪沙、摊破浣溪沙、感恩多令
胡捣练　　　、望仙楼
桃源忆故人　、虞美人影、胡捣练、桃园忆故人、醉桃园、杏花风
撼庭秋　　　、感庭秋
庆金枝　　　、庆金枝令
烛影摇红　　、忆故人、归去曲、玉珥坠金环、秋色横空
朝中措　　　、照江梅、芙蓉曲、梅月圆
眼儿媚　　　、小栏杆、东风寒、秋波媚
人月圆　　　、青衫湿
喜团圆　　　、与团圆
海棠春　　　、海棠花、海棠春令
武陵春　　　、武林春
鬲溪梅令　　、高溪梅令
月宫春　　　、月中行
极相思　　　、极相思令
柳梢青　　　、云淡秋空、雨洗元宵、玉水明沙、早春怨、陇头月
醉乡春　　　、添春色
太常引　　　、太清引、腊前梅
应天长　　　、应天长令、应天长慢
少年游　　　、玉腊梅枝、小栏杆
忆汉月　　　、望汉月
西江月　　　、白苹香、步虚词、江月令
梁州令　　　、凉州令、梁州令叠韵
归田乐　　　、归田乐引
惜分飞　　　、惜双双、惜双双令、惜芳菲 
促拍采桑子　、促拍丑奴儿
四犯令　　　、四和香、桂华明
探春令　　　、景龙灯
越江吟　　　、宴瑶池、瑶池宴、瑶池宴令
雨中花令　　、送将归
伊州令　　　、伊川令
引驾行　　　、长春
双雁儿　　　、双燕子
寻芳草　　　、王孙信
恨来迟　　　、恨欢迟
红窗听　　　、红窗睡
折桂令　　　、秋风第一枝、天香引、蟾宫曲
临江仙　　　、谢新恩、雁后归、画屏春、庭院深深
浪淘沙令　　、曲入冥、卖花声、过龙门、炼丹砂
金错刀　　　、醉瑶瑟、君来路
端正好　　　、于中好
杏花天　　　、杏花风
恋绣衾　　　、泪珠弹
撷芳词　　　、折红英、清商怨、惜分钗、钗头凤、玉珑璁
鹦鹉曲　　　、黑漆弩、学士吟
河传　　　　、怨王孙、庆同天、月照梨花、秋光满目
夜行船　　　、明月棹孤舟
鹧鸪天　　　、思越人、思佳客、剪朝霞、骊歌一叠、醉梅花
虞美人　　　、虞美人令、玉壶冰、忆柳曲、一江春水
瑞鹧鸪　　　、舞春风、桃花落、鹧鸪词、拾菜娘、天下乐、太平乐、五拍
玉楼春　　　、惜春容、西湖曲、玉楼春令、归朝欢令
鹊桥仙　　　、鹊桥仙令、忆人人、金风玉露相逢曲、广寒秋
卓牌子　　　、卓牌子令、卓牌子慢
厅前柳　　　、亭前柳
一斛珠　　　、一斛夜明珠、醉落魄、怨春风、醉落拓
夜游宫　　　、新念别
梅花引　　　、贫也乐、小梅花
小重山　　　、小冲山、小重山令、柳色新
踏莎行　　　、喜朝天、柳长春、踏雪行、转调踏莎行
扫地舞　　　、扫市舞
接贤宾　　　、集贤宾
步蟾宫　　　、钓台词、折丹桂
冉冉云　　　、弄花雨
蝶恋花　　　、鹊踏枝、黄金缕、卷珠帘、明月生南浦、细雨吹池沼、凤栖梧、一箩金、鱼水同欢、转调蝶恋花
少年心　　　、添字少年心
一翦梅　　　、腊梅香、玉簟秋
唐多令　　　、糖多令、南楼令、箜篌曲
系裙腰　　　、芳草渡 
